section,row,seat,kind,notes
Stalls Centre,A,12,wheelchair,"Accessible bay, level access from the foyer"
Stalls Centre,B,1,standard,
Stalls Centre,B,2,standard,
Stalls Centre,B,3,standard,
Stalls Centre,B,4,standard,
Stalls Centre,B,5,standard,
Stalls Centre,B,6,standard,
Stalls Centre,B,7,standard,
Stalls Centre,B,8,standard,
Stalls Centre,B,9,standard,
Stalls Centre,B,10,standard,
Stalls Centre,B,11,standard,
Stalls Centre,B,12,standard,
Stalls Centre,B,13,standard,
Stalls Centre,B,14,standard,
Stalls Centre,C,1,standard,
Stalls Centre,C,2,standard,
Stalls Centre,C,3,standard,
Stalls Centre,C,4,standard,
Stalls Centre,C,5,standard,
Stalls Centre,C,6,standard,
Stalls Centre,C,7,standard,
Stalls Centre,C,8,standard,
Stalls Centre,C,9,standard,
Stalls Centre,C,10,standard,
Stalls Centre,C,11,standard,
Stalls Centre,C,12,standard,
Stalls Centre,C,13,standard,
Stalls Centre,C,14,standard,
Stalls Centre,D,1,standard,
Stalls Centre,D,2,standard,
Stalls Centre,D,3,standard,
Stalls Centre,D,4,standard,
Stalls Centre,D,5,standard,
Stalls Centre,D,6,standard,
Stalls Centre,D,7,standard,
Stalls Centre,D,8,standard,
Stalls Centre,D,9,standard,
Stalls Centre,D,10,standard,
Stalls Centre,D,11,standard,
Stalls Centre,D,12,standard,
Stalls Centre,D,13,standard,
Stalls Centre,D,14,standard,
Stalls Centre,E,1,standard,
Stalls Centre,E,2,standard,
Stalls Centre,E,3,standard,
Stalls Centre,E,4,standard,
Stalls Centre,E,5,standard,
Stalls Centre,E,6,standard,
Stalls Centre,E,7,standard,
Stalls Centre,E,8,standard,
Stalls Centre,E,9,standard,
Stalls Centre,E,10,standard,
Stalls Centre,E,11,standard,
Stalls Centre,E,12,standard,
Stalls Centre,E,13,standard,
Stalls Centre,E,14,standard,
Stalls Centre,F,1,standard,
Stalls Centre,F,2,standard,
Stalls Centre,F,3,standard,
Stalls Centre,F,4,standard,
Stalls Centre,F,5,standard,
Stalls Centre,F,6,standard,
Stalls Centre,F,7,house,Held for production; released at the box office
Stalls Centre,F,8,house,Held for production; released at the box office
Stalls Centre,F,9,standard,
Stalls Centre,F,10,standard,
Stalls Centre,F,11,standard,
Stalls Centre,F,12,standard,
Stalls Centre,F,13,standard,
Stalls Centre,F,14,standard,
Grand Circle,A,101,standard,
Grand Circle,A,102,standard,
Grand Circle,A,103,standard,
Grand Circle,A,104,standard,
Grand Circle,A,105,standard,
Grand Circle,A,106,standard,
Grand Circle,A,107,standard,
Grand Circle,A,108,standard,
Grand Circle,A,109,standard,
Grand Circle,A,110,standard,
Grand Circle,B,101,standard,
Grand Circle,B,102,standard,
Grand Circle,B,103,standard,
Grand Circle,B,104,standard,
Grand Circle,B,105,standard,
Grand Circle,B,106,standard,
Grand Circle,B,107,standard,
Grand Circle,B,108,standard,
Grand Circle,B,109,standard,
Grand Circle,B,110,standard,
Grand Circle,B,111,standard,
Grand Circle,B,112,standard,
Grand Circle,C,101,standard,
Grand Circle,C,102,standard,
Grand Circle,C,103,standard,
Grand Circle,C,104,standard,
Grand Circle,C,105,standard,
Grand Circle,C,106,standard,
Grand Circle,C,107,standard,
Grand Circle,C,108,standard,
Grand Circle,C,109,standard,
Grand Circle,C,110,standard,
Grand Circle,C,111,standard,
Grand Circle,C,112,standard,
Balcony,1,1,standard,
Balcony,1,2,standard,
Balcony,1,3,standard,
Balcony,1,4,standard,
Balcony,1,5,standard,
Balcony,1,6,standard,
Balcony,1,7,standard,
Balcony,1,8,standard,
Balcony,2,1,standard,
Balcony,2,2,standard,
Balcony,2,3,standard,
Balcony,2,4,standard,
Balcony,2,5,standard,
Balcony,2,6,standard,
Balcony,2,7,standard,
Balcony,2,8,standard,
Balcony,3,1,obstructed,Side-on to the stage
Balcony,3,2,standard,
Balcony,3,3,standard,
Balcony,3,4,standard,
Balcony,3,5,standard,
Balcony,3,6,standard,
Balcony,3,7,standard,
Balcony,3,8,obstructed,Side-on to the stage
